,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
I,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0
S,1.5,1.3333333333333333,1.6666666666666667,1.6,1.3333333333333333,1.8333333333333333,1.6666666666666667,1.6,1.6,1.6666666666666667,1.2,1.3333333333333333,1.2,1.6666666666666667,1.6,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.2,1.2
User Picked,9.0,8.0,10.0,8.0,8.0,11.0,10.0,8.0,8.0,10.0,6.0,8.0,6.0,10.0,8.0,8.0,10.0,10.0,6.0,6.0
Total Cost,245.0,255.0,248.0,249.0,248.0,249.0,249.0,249.0,250.0,247.0,248.0,255.0,248.0,249.0,249.0,252.0,249.0,247.0,249.0,249.0
Selected Points,0.2222222222222222,0.75,0.4,0.5,0.5,0.5454545454545454,0.4,0.5,0.625,0.3,0.5,0.75,0.16666666666666663,0.4,0.5,0.375,0.5,0.3,0.5,0.5
Known Defects,31.0,31.0,30.0,32.0,30.0,30.0,30.0,32.0,32.0,31.0,31.0,31.0,31.0,30.0,32.0,30.0,32.0,31.0,31.0,31.0
Features Used,29.0,29.0,31.0,31.0,31.0,28.0,28.0,31.0,32.0,31.0,29.0,29.0,30.0,28.0,31.0,29.0,32.0,31.0,30.0,30.0
Score,0.0016,0.1178,0.0013,0.0125,0.0012,0.0228,0.0229,0.0125,0.014,0.0016,0.0138,0.1137,0.0087,0.0203,0.0126,0.0382,0.0066,0.0016,0.0135,0.0135
Time,1.968125343322754,1.9795339107513428,1.9582083225250244,1.9031493663787842,1.9805335998535156,1.9919350147247314,1.9696147441864014,1.8927409648895264,1.9869697093963623,1.959695816040039,1.9929256439208984,2.003342390060425,1.9745755195617676,2.053934335708618,1.895219087600708,1.968618392944336,1.9889609813690186,2.0266530513763428,1.8976917266845703,1.9398560523986816
