,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Models built,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843,72311.6944300843
MAE,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352,952.5244705882352
MSE,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033,5697983.135213033
RMSE,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972,2387.044854042972
MAPE,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89,26.89
Accuracy,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11,73.11
N_estimators,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Criterion,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error
Min_samples_leaf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Min_impurity_decrease,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25
Max_depth,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Score,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
Time,14463.531269016861,14463.55308801686,14463.532260016862,14463.51986101686,14463.526798016861,14463.502004016862,14463.502002016861,14463.557557016862,14463.52035501686,14463.513905016862,14463.585331016862,14463.53573301686,14463.502001016861,14463.538214016862,14463.515889016862,14463.52233801686,14463.547638016862,14463.531758016861,14463.505480016862,14463.551598016862
