,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Models built,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
MAE,2042.6058596052656,2673.1218497337177,1164.8529004937718,2598.4466763232417,1112.935499218374,2602.1180472132146,2673.1218497337177,1804.7725833333327,1274.8760000000002,3020.063311315544,2037.4830323683973,1112.935499218374,1677.859666666667,2602.1180472132146,1044.9615833333332,2120.5580370370367,2209.9671666666663,1044.9615833333332,1804.7725833333327,1804.7725833333327
MSE,18605112.612861,23434654.624553625,9045022.496683905,23672458.39385762,8744833.822287349,23327979.557006296,23434654.624553625,19272605.276288804,10408500.253975,28524587.878830552,18625466.563231703,8744833.822287349,17203030.771627333,23327979.557006296,7437716.651484143,25314006.52425412,27004312.04597292,7437716.651484143,19272605.276288804,19272605.276288804
RMSE,4313.364419204688,4840.935304727138,3007.494388470892,4865.435067273801,2957.166519201675,4829.904715106323,4840.935304727138,4390.057548175058,3226.220738569356,5340.8414953854,4315.723179634174,2957.166519201675,4147.653646536477,4829.904715106323,2727.217749187648,5031.302666730964,5196.567332958644,2727.217749187648,4390.057548175058,4390.057548175058
MAPE,78.17,113.34,24.36,113.89,25.26,113.92,113.34,48.99,38.46,194.69,76.62,25.26,46.0,113.92,24.86,61.14,62.94,24.86,48.99,48.99
Accuracy,21.83,-13.34,75.64,-13.89,74.74,-13.92,-13.34,51.01,61.54,-94.69,23.38,74.74,54.0,-13.92,75.14,38.86,37.06,75.14,51.01,51.01
N_estimators,100,120,60,140,20,80,120,160,20,160,160,20,50,80,120,90,40,120,160,160
Criterion,squared_error,poisson,squared_error,poisson,squared_error,poisson,poisson,absolute_error,absolute_error,poisson,squared_error,squared_error,absolute_error,poisson,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error
Min_samples_leaf,19,11,1,7,2,16,11,13,3,3,18,2,11,16,1,18,20,1,13,13
Min_impurity_decrease,4.25,3.25,3.25,7.0,4.75,5.25,3.25,6.75,5.75,9.75,3.25,4.75,0.5,5.25,3.0,9.25,3.25,3.0,6.75,6.75
Max_depth,6,20,13,18,19,11,20,7,5,6,8,19,6,11,17,15,7,17,7,7
Score,0.4701,0.7026,0.0351,0.6879,0.0263,0.6605,0.7026,0.3329,0.1188,0.9364,0.464,0.0263,0.266,0.6605,0.0081,0.5491,0.5872,0.0081,0.3329,0.3329
Time,12.924429,12.972541000000001,12.892188,12.933852000000002,12.943277,13.010237,12.977997,12.944270000000001,12.980476000000001,12.98395,13.02214,12.927902000000001,12.913019,12.975022000000001,12.93187,12.915504,12.916985,12.885246,12.898141,12.919467000000001
