,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Models built,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226,313.0838499786226
MAE,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332,1044.9615833333332
MSE,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143,7437716.651484143
RMSE,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648,2727.217749187648
MAPE,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86,24.86
Accuracy,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14,75.14
N_estimators,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Criterion,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error,absolute_error
Min_samples_leaf,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Min_impurity_decrease,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Max_depth,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Score,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081
Time,63.68713199572453,63.72136199572452,63.703007995724526,63.708957995724525,63.739706995724525,63.73177499572452,63.736239995724524,63.752111995724526,63.744172995724526,63.74566399572453,63.837917995724524,63.76351999572452,63.797742995724526,63.77442899572453,63.793279995724525,63.790302995724524,63.819069995724526,63.78732699572453,63.813615995724525,63.782365995724525
