,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Models built,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
MAE,2686.0274520130256,2646.580305491148,2616.160673128385,2690.934646100036,1149.182152495858,2580.5666399742354,2077.772843137255,1887.7622156862744,2052.7429411764706,1667.515574074074,2737.798836846999,1100.0586666666666,1812.778471859362,2042.0308333333328,2630.597818184492,1373.9678984728728,2036.42865,1829.079843137255,1566.8362,1881.1802334543768
MSE,23409014.518104635,23195667.780616064,23897479.954664063,23980320.06881901,9411325.0529473,23087948.158993904,24755210.78651113,16046024.41139925,24154265.71972365,16471340.447879683,23635623.201305486,9391734.272157824,16001060.61564608,24378716.65510517,23474234.788867448,11775597.179504272,24364259.495000795,19732292.01022941,14356734.981521854,17132686.855062827
RMSE,4838.286320393268,4816.188096473815,4888.504879271787,4896.970499075833,3067.788299890868,4804.992004050985,4975.460861720362,4005.748920164524,4914.698944973501,4058.489922111386,4861.648198019421,3064.593655308616,4000.132574758752,4937.4808004796505,4845.021649989549,3431.5590013147485,4936.016561459331,4442.104457374839,3789.028237097456,4139.164994906923
MAPE,128.17,117.86,110.35,127.76,23.46,118.35,56.63,75.35,57.66,46.92,162.17,29.33,65.76,54.79,123.0,30.16,55.44,51.62,43.41,69.04
Accuracy,-28.17,-17.86,-10.35,-27.76,76.54,-18.35,43.37,24.65,42.34,53.08,-62.17,70.67,34.24,45.21,-23.0,69.84,44.56,48.38,56.59,30.96
N_estimators,80,180,20,40,90,80,170,170,170,180,190,70,20,100,190,120,200,170,150,60
Criterion,poisson,poisson,poisson,poisson,squared_error,poisson,absolute_error,absolute_error,absolute_error,absolute_error,squared_error,absolute_error,squared_error,absolute_error,poisson,squared_error,absolute_error,absolute_error,absolute_error,squared_error
Min_samples_leaf,12,13,6,6,2,5,17,10,17,12,18,3,16,17,6,4,17,14,10,13
Min_impurity_decrease,1.5,1.75,3.25,1.0,3.0,7.75,3.75,1.0,7.5,4.75,2.5,2.5,3.75,4.75,0.25,8.5,1.0,9.25,8.25,1.0
Max_depth,8,12,18,14,17,18,10,3,9,9,2,10,14,7,15,11,15,9,20,5
Score,0.7872,0.7177,0.6729,0.7974,0.0388,0.6832,0.5329,0.3701,0.5266,0.2583,0.8566,0.046,0.3028,0.5235,0.7625,0.1351,0.5239,0.3733,0.2143,0.3778
Time,11.460444,11.470366,11.491692,11.477309,11.520957000000001,11.478799,11.497147,11.518974,11.492189,11.467884,11.468882,11.433167000000001,11.410839000000001,11.456479,11.421261000000001,11.428701,11.429201,11.428697,11.437134,11.475325
