,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Asked,2.0,5.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,5.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0
User Picked,4.0,10.0,2.0,9.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,9.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,7.0,9.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,11.0,9.0,2.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,9.0,10.0,4.0,2.0,2.0,4.0,2.0,7.0,2.0,9.0,6.0,4.0,2.0,9.0,2.0,2.0,4.0,2.0,6.0,9.0,2.0,4.0,7.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,8.0,8.0,6.0,2.0,2.0,2.0,2.0,4.0
Cost,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03342246,0.093818985,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03342246,-1.0,0.0,0.0,-1.0,-1.0,0.093818985,-1.0,-1.0,-1.0,-1.0,0.0,0.093818985,-1.0,-1.0,0.03342246,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.093818985,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
Selected Points,-1.0,60.0,-1.0,55.55555555555556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.55555555555556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.42857142857143,66.66666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,54.54545454545454,55.55555555555556,-1.0,-1.0,55.55555555555556,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,55.55555555555556,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,71.42857142857143,-1.0,55.55555555555556,83.33333333333334,-1.0,-1.0,66.66666666666666,-1.0,-1.0,-1.0,-1.0,83.33333333333334,66.66666666666666,-1.0,-1.0,71.42857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.0,62.5,83.33333333333334,-1.0,-1.0,-1.0,-1.0,-1.0
Completion Rate,-1.0,0.759178527,-1.0,0.823022268,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.823022268,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.53017391,0.747048288,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.823022268,0.823022268,-1.0,-1.0,0.823022268,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.823022268,0.759178527,-1.0,-1.0,-1.0,-1.0,-1.0,0.53017391,-1.0,0.823022268,0.438232341,-1.0,-1.0,0.747048288,-1.0,-1.0,-1.0,-1.0,0.438232341,0.747048288,-1.0,-1.0,0.53017391,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.885721353,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.747048288,0.885721353,0.438232341,-1.0,-1.0,-1.0,-1.0,-1.0
Idle Rate,-1.0,0.082975922,-1.0,0.103011487,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.103011487,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.073619069,0.144277155,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.103011487,0.103011487,-1.0,-1.0,0.103011487,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.103011487,0.082975922,-1.0,-1.0,-1.0,-1.0,-1.0,0.073619069,-1.0,0.103011487,0.007953176,-1.0,-1.0,0.144277155,-1.0,-1.0,-1.0,-1.0,0.007953176,0.144277155,-1.0,-1.0,0.073619069,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.212054811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.144277155,0.212054811,0.007953176,-1.0,-1.0,-1.0,-1.0,-1.0
Score,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,0.005,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,0.005,0.005,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,0.005,0.005,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,0.005,0.005,-1.0,-1.0,-1.0,-1.0,-1.0
Time,1.7341790199279785,2.251610040664673,1.7423450946807861,2.2889819145202637,1.69757080078125,1.7284018993377686,1.7461669445037842,1.7173287868499756,1.7415339946746826,1.745300054550171,1.6912260055541992,1.7326710224151611,2.3064332008361816,1.679373025894165,1.7343437671661377,1.7355461120605469,1.714418888092041,1.7263970375061035,1.7576749324798584,1.69173002243042,1.7372426986694336,1.7501928806304932,1.7012839317321777,1.7493650913238525,1.7322361469268799,1.696058750152588,1.72080397605896,1.678570032119751,1.713150978088379,2.2902309894561768,2.207648992538452,1.7100002765655518,1.73927903175354,1.7065930366516113,1.7427363395690918,1.7410571575164795,1.7109248638153076,1.7425951957702637,1.752028226852417,1.7136919498443604,1.8072688579559326,2.311556816101074,2.205845832824707,1.7021617889404297,1.7225348949432373,2.206599235534668,1.7050812244415283,1.7259540557861328,1.6839308738708496,1.7473077774047852,1.731374740600586,1.704772710800171,1.7149672508239746,2.2610256671905518,2.205578088760376,1.7251410484313965,1.7299690246582031,1.6994349956512451,1.7397820949554443,1.7278790473937988,2.20009708404541,1.706110954284668,2.2790350914001465,2.2016639709472656,1.72090482711792,1.766735315322876,2.219658851623535,1.7109780311584473,1.7220780849456787,1.693666696548462,1.7227928638458252,2.265838146209717,2.198873996734619,1.7219033241271973,1.7468748092651367,2.2515668869018555,1.742779016494751,1.7433228492736816,1.703834056854248,1.7888920307159424,1.7777221202850342,1.7291929721832275,1.7449207305908203,2.2626919746398926,1.6826021671295166,1.7275390625,1.7257170677185059,1.681593894958496,1.7399518489837646,1.7665371894836426,1.7455978393554688,1.7500879764556885,2.2881548404693604,2.199100971221924,2.3011109828948975,1.6871578693389893,1.7387311458587646,1.7633991241455078,1.7044501304626465,1.7436609268188477
