,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Asked,1.0,7.0,4.0,7.0,7.0,4.0,1.0,4.0,1.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,4.0,4.0,7.0,4.0,4.0,1.0,1.0,7.0,4.0,1.0,7.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,7.0,7.0,4.0,1.0,7.0,7.0,4.0,7.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,7.0,7.0,4.0,4.0,7.0,7.0,4.0,4.0,1.0,4.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0,1.0,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
User Picked,2.0,12.0,8.0,14.0,15.0,6.0,2.0,6.0,2.0,2.0,14.0,2.0,14.0,2.0,12.0,2.0,6.0,6.0,15.0,6.0,8.0,2.0,2.0,12.0,8.0,2.0,13.0,6.0,8.0,2.0,8.0,6.0,2.0,2.0,2.0,8.0,2.0,15.0,15.0,8.0,2.0,15.0,14.0,6.0,12.0,2.0,2.0,6.0,2.0,6.0,2.0,6.0,15.0,12.0,6.0,8.0,15.0,15.0,6.0,8.0,2.0,6.0,14.0,2.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,2.0,13.0,2.0,12.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,15.0,2.0,12.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0
Cost,-1.0,100.0,-1.0,83.0,83.0,-1.0,-1.0,-1.0,-1.0,-1.0,110.0,-1.0,83.0,-1.0,100.0,-1.0,-1.0,-1.0,83.0,-1.0,-1.0,-1.0,-1.0,102.0,-1.0,-1.0,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.0,83.0,-1.0,-1.0,83.0,83.0,-1.0,105.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.0,101.0,-1.0,-1.0,83.0,83.0,-1.0,-1.0,-1.0,-1.0,83.0,-1.0,101.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.0,-1.0,103.0,-1.0,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,83.0,-1.0,100.0,83.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Selected Points,-1.0,58.333333333333336,-1.0,42.857142857142854,53.333333333333336,-1.0,-1.0,-1.0,-1.0,-1.0,64.28571428571429,-1.0,50.0,-1.0,58.333333333333336,-1.0,-1.0,-1.0,46.666666666666664,-1.0,-1.0,-1.0,-1.0,58.333333333333336,-1.0,-1.0,53.84615384615385,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,60.0,53.333333333333336,-1.0,-1.0,60.0,42.857142857142854,-1.0,66.66666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.666666666666664,58.333333333333336,-1.0,-1.0,53.333333333333336,40.0,-1.0,-1.0,-1.0,-1.0,50.0,-1.0,58.333333333333336,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.666666666666664,-1.0,53.84615384615385,-1.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,66.66666666666666,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Known Defects,-1.0,14.0,-1.0,13.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,13.0,-1.0,14.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,13.0,-1.0,-1.0,13.0,13.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,10.0,-1.0,-1.0,13.0,13.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,14.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,14.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Features Used,-1.0,17.0,-1.0,15.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,-1.0,15.0,-1.0,17.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,15.0,-1.0,-1.0,15.0,15.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,15.0,-1.0,-1.0,15.0,15.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,16.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,17.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Score,-1.0,0.005,-1.0,0.005,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,0.005,-1.0,-1.0,0.005,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,0.005,-1.0,-1.0,0.005,0.005,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,0.005,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Time,3.2619991302490234,3.962999105453491,3.430025339126587,4.130974531173706,4.072031736373901,3.346118688583374,3.4210336208343506,3.4529669284820557,3.313007354736328,3.343017339706421,4.0609824657440186,3.44199275970459,4.651033401489258,4.071629524230957,4.82708477973938,3.5780060291290283,3.5539681911468506,3.5750014781951904,4.405999660491943,3.4990005493164062,3.52203106880188,3.5169930458068848,3.500974416732788,4.827006578445435,3.861032724380493,3.485968589782715,4.326021194458008,3.617974281311035,4.005997180938721,3.9199986457824707,5.337541341781616,3.6565120220184326,3.5510122776031494,3.4769885540008545,3.406001329421997,3.47599720954895,3.4200263023376465,4.158999443054199,4.1940062046051025,3.7049691677093506,3.4749996662139893,4.212030649185181,4.183975458145142,3.4179935455322266,4.2129998207092285,3.549999713897705,3.56500244140625,3.507026433944702,3.4679722785949707,3.4090347290039062,3.6919937133789062,3.5189712047576904,4.160030364990234,4.174986362457275,3.589040756225586,3.432961940765381,4.1820290088653564,4.611968517303467,3.523646116256714,3.4929885864257812,3.5969831943511963,3.5410075187683105,4.247992277145386,3.415999412536621,4.193031549453735,3.413969039916992,3.360031843185425,3.393967390060425,3.4400322437286377,3.382002115249634,3.400967836380005,3.413022518157959,3.3780086040496826,4.190998315811157,3.4199953079223633,4.476918697357178,3.6348795890808105,4.444000244140625,3.436999797821045,3.4490177631378174,3.4900758266448975,3.7469980716705322,3.502002000808716,3.5069987773895264,3.553999185562134,3.6960337162017822,3.7489988803863525,3.613253593444824,3.6610004901885986,4.50203275680542,3.481968641281128,4.480029344558716,4.3239710330963135,3.461998462677002,3.4520010948181152,3.464998483657837,3.6262567043304443,3.6730024814605713,3.842998743057251,3.5549988746643066
