,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Asked,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
User Picked,2.0,7.0,2.0,7.0,2.0,7.0,7.0,5.0,2.0,2.0,2.0,2.0,5.0,7.0,9.0,2.0,2.0,2.0,2.0,7.0,7.0,2.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.0,2.0,7.0,2.0,9.0,2.0,9.0,9.0,2.0,2.0,9.0,7.0,2.0,7.0,7.0,7.0,2.0,9.0,7.0,9.0,2.0,9.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,5.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,9.0,2.0,2.0,7.0,2.0,7.0,2.0,2.0,2.0,2.0,2.0,9.0,7.0,2.0,2.0,9.0,2.0,7.0,7.0,2.0,5.0,7.0,2.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Cost,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,-1.0,-1.0,-1.0,-1.0,37.0,-1.0,-1.0,-1.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.0,-1.0,36.0,-1.0,36.0,29.0,-1.0,-1.0,36.0,38.0,-1.0,-1.0,-1.0,38.0,-1.0,36.0,-1.0,36.0,-1.0,29.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,-1.0,-1.0,37.0,-1.0,38.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,37.0,-1.0,-1.0,29.0,-1.0,-1.0,38.0,-1.0,-1.0,37.0,-1.0,-1.0,36.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Selected Points,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,77.77777777777779,-1.0,-1.0,-1.0,-1.0,85.71428571428571,-1.0,-1.0,-1.0,77.77777777777779,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85.71428571428571,-1.0,77.77777777777779,-1.0,77.77777777777779,66.66666666666666,-1.0,-1.0,77.77777777777779,71.42857142857143,-1.0,-1.0,-1.0,71.42857142857143,-1.0,77.77777777777779,-1.0,77.77777777777779,-1.0,66.66666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.66666666666666,-1.0,-1.0,85.71428571428571,-1.0,71.42857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,66.66666666666666,85.71428571428571,-1.0,-1.0,66.66666666666666,-1.0,-1.0,71.42857142857143,-1.0,-1.0,85.71428571428571,-1.0,-1.0,77.77777777777779,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Known Defects,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,7.0,-1.0,7.0,5.0,-1.0,-1.0,7.0,3.0,-1.0,-1.0,-1.0,3.0,-1.0,7.0,-1.0,7.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,5.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,5.0,-1.0,-1.0,5.0,-1.0,-1.0,3.0,-1.0,-1.0,5.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Features Used,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,7.0,-1.0,7.0,7.0,-1.0,-1.0,7.0,8.0,-1.0,-1.0,-1.0,8.0,-1.0,7.0,-1.0,7.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,8.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,8.0,-1.0,-1.0,7.0,-1.0,-1.0,8.0,-1.0,-1.0,8.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Score,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,0.005,-1.0,0.005,0.005,-1.0,-1.0,0.005,0.005,-1.0,-1.0,-1.0,0.005,-1.0,0.005,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,0.005,-1.0,-1.0,0.005,-1.0,-1.0,0.005,-1.0,-1.0,0.005,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Time,1.6920318603515625,1.7239692211151123,1.676039695739746,1.6725025177001953,1.6555771827697754,1.6640236377716064,2.124011754989624,1.9319994449615479,1.801006555557251,1.8509938716888428,1.731001853942871,2.406998872756958,1.8240010738372803,1.6900372505187988,1.9580004215240479,1.6000022888183594,1.6169979572296143,1.6090006828308105,1.5759978294372559,1.9062848091125488,1.5617420673370361,1.568227767944336,1.560999870300293,1.858999490737915,1.547999382019043,1.5469987392425537,1.5290312767028809,1.6509983539581299,1.5490009784698486,1.553030252456665,2.254049777984619,2.0310006141662598,2.1450631618499756,1.942000389099121,1.613999843597412,1.9190053939819336,1.670994758605957,2.0540308952331543,2.015000820159912,1.6020314693450928,1.5499672889709473,1.8710289001464844,1.9229989051818848,1.5249969959259033,1.5740132331848145,1.6269888877868652,1.82200026512146,1.5769989490509033,1.869028091430664,1.5189690589904785,2.4330379962921143,2.1249985694885254,2.5910017490386963,2.296998977661133,2.0700013637542725,1.829028844833374,1.996999740600586,2.0310003757476807,1.9840528964996338,1.8339478969573975,1.7749989032745361,1.73699951171875,1.746001958847046,1.7470300197601318,1.653977394104004,1.695983648300171,1.7080321311950684,1.685997724533081,2.040971279144287,1.6970341205596924,1.7509651184082031,2.0400359630584717,1.7739644050598145,2.0520007610321045,1.7470245361328125,1.7060034275054932,1.6689794063568115,1.6830360889434814,1.7449626922607422,2.0129997730255127,2.037926435470581,1.7099931240081787,1.6629986763000488,2.0250072479248047,1.7109923362731934,1.6770012378692627,2.0190012454986572,1.7059977054595947,1.6719999313354492,2.0480003356933594,1.7160327434539795,1.6700305938720703,2.0490288734436035,1.670971155166626,1.6930017471313477,1.6950304508209229,1.6600005626678467,1.6899991035461426,1.7079992294311523,1.6519997119903564
