,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Asked,2.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,3.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,3.0,5.0,2.0,3.0,5.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,3.0,5.0,3.0,3.0,5.0,2.0,5.0,2.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0
User Picked,5.0,5.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,11.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,6.0,5.0,5.0,11.0,13.0,4.0,13.0,6.0,3.0,5.0,6.0,6.0,3.0,13.0,3.0,3.0,5.0,3.0,3.0,5.0,6.0,5.0,5.0,11.0,11.0,5.0,3.0,3.0,4.0,13.0,5.0,4.0,13.0,3.0,3.0,11.0,11.0,5.0,3.0,3.0,6.0,11.0,6.0,6.0,11.0,5.0,11.0,5.0,9.0,4.0,11.0,4.0,4.0,4.0,9.0,6.0,5.0,3.0,4.0,5.0,11.0,5.0,4.0,5.0,11.0,3.0,9.0,5.0,5.0,5.0,5.0,3.0,5.0,13.0
Cost,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,26.0,-1.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.0,31.0,-1.0,-1.0,-1.0,-1.0,34.0,-1.0,-1.0,34.0,-1.0,-1.0,31.0,24.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,24.0,-1.0,31.0,-1.0,37.0,-1.0,31.0,-1.0,-1.0,-1.0,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,-1.0,-1.0,-1.0,31.0,-1.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0
Selected Points,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.72727272727273,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.72727272727273,61.53846153846154,-1.0,61.53846153846154,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.53846153846154,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,72.72727272727273,72.72727272727273,-1.0,-1.0,-1.0,-1.0,61.53846153846154,-1.0,-1.0,61.53846153846154,-1.0,-1.0,72.72727272727273,63.63636363636363,-1.0,-1.0,-1.0,-1.0,63.63636363636363,-1.0,-1.0,63.63636363636363,-1.0,72.72727272727273,-1.0,88.88888888888889,-1.0,72.72727272727273,-1.0,-1.0,-1.0,88.88888888888889,-1.0,-1.0,-1.0,-1.0,-1.0,72.72727272727273,-1.0,-1.0,-1.0,72.72727272727273,-1.0,77.77777777777779,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.53846153846154
Known Defects,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,3.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,4.0,-1.0,-1.0,4.0,4.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,4.0,-1.0,3.0,-1.0,6.0,-1.0,4.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,3.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0
Features Used,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,8.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,8.0,-1.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,9.0,-1.0,-1.0,8.0,8.0,-1.0,-1.0,-1.0,-1.0,8.0,-1.0,-1.0,8.0,-1.0,7.0,-1.0,9.0,-1.0,8.0,-1.0,-1.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,7.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0
Score,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,0.005,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,0.005,-1.0,-1.0,0.005,0.005,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,0.005,-1.0,0.005,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005
Time,1.6969671249389648,1.7039985656738281,1.7050261497497559,1.720973014831543,1.7209985256195068,1.8600273132324219,1.7519721984863281,1.7270309925079346,1.6909985542297363,1.773998737335205,2.3330020904541016,2.003999710083008,1.9350004196166992,1.777000904083252,1.901998519897461,1.7380013465881348,1.989997386932373,1.7660024166107178,2.1010005474090576,1.7829992771148682,1.7499988079071045,1.7899994850158691,1.7739994525909424,1.731999397277832,1.6970160007476807,1.7059853076934814,1.6670300960540771,1.6920015811920166,1.7780003547668457,2.560999631881714,2.733520030975342,1.8020026683807373,2.3719987869262695,1.7749979496002197,1.7280018329620361,1.7400004863739014,1.7519993782043457,1.70400071144104,1.6709990501403809,2.214999198913574,1.7450008392333984,1.6950016021728516,2.0875158309936523,1.9030022621154785,2.0239994525909424,1.9660007953643799,1.8450005054473877,1.947998046875,2.000999927520752,2.2890491485595703,2.2119531631469727,1.6349973678588867,1.6280007362365723,1.6250319480895996,1.6079695224761963,2.090998411178589,1.5530009269714355,1.6089987754821777,2.106031894683838,1.5749707221984863,1.5819971561431885,2.0645864009857178,2.7775487899780273,1.8429985046386719,1.7750003337860107,1.8670265674591064,1.7360072135925293,2.234998941421509,1.7079980373382568,1.7059996128082275,2.1817352771759033,1.677994728088379,2.209002733230591,1.6540300846099854,2.197967767715454,1.696030616760254,2.1759955883026123,1.6980063915252686,1.7450122833251953,1.7419540882110596,2.350001096725464,1.7390410900115967,1.659984827041626,1.7089736461639404,1.702000617980957,1.6450250148773193,2.231006622314453,1.6940314769744873,1.6909692287445068,1.748030662536621,2.2319703102111816,1.6839990615844727,2.249998092651367,1.7030341625213623,1.6570000648498535,1.6929991245269775,1.7109997272491455,1.6490294933319092,1.872972011566162,2.4169983863830566
