,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Asked,2.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,5.0,2.0,5.0,3.0,2.0,5.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,3.0,3.0,2.0,5.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,3.0,5.0,3.0,5.0,3.0,2.0,3.0,3.0
User Picked,2.0,2.0,6.0,13.0,2.0,10.0,6.0,2.0,2.0,6.0,4.0,6.0,13.0,6.0,6.0,10.0,6.0,9.0,8.0,2.0,10.0,6.0,4.0,8.0,8.0,10.0,8.0,4.0,8.0,13.0,6.0,4.0,13.0,9.0,13.0,6.0,6.0,2.0,2.0,6.0,6.0,6.0,13.0,8.0,4.0,4.0,6.0,9.0,4.0,10.0,2.0,2.0,6.0,6.0,6.0,13.0,6.0,6.0,10.0,10.0,6.0,6.0,2.0,2.0,2.0,9.0,2.0,2.0,8.0,4.0,4.0,4.0,8.0,6.0,6.0,6.0,2.0,9.0,2.0,6.0,9.0,6.0,6.0,2.0,2.0,6.0,6.0,13.0,2.0,4.0,4.0,6.0,4.0,10.0,4.0,13.0,4.0,6.0,4.0,8.0
Cost,-1.0,-1.0,-1.0,99.0,-1.0,91.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99.0,-1.0,-1.0,91.0,-1.0,102.0,-1.0,-1.0,91.0,-1.0,-1.0,-1.0,-1.0,91.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,99.0,102.0,99.0,-1.0,100.0,-1.0,-1.0,-1.0,-1.0,93.0,90.0,-1.0,-1.0,-1.0,-1.0,102.0,-1.0,91.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,-1.0,-1.0,91.0,91.0,93.0,-1.0,-1.0,-1.0,-1.0,102.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,102.0,-1.0,-1.0,102.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,99.0,-1.0,-1.0,-1.0,-1.0,-1.0,91.0,-1.0,99.0,-1.0,-1.0,-1.0,-1.0
Selected Points,-1.0,-1.0,-1.0,61.53846153846154,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.53846153846154,-1.0,-1.0,60.0,-1.0,66.66666666666666,-1.0,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,-1.0,-1.0,46.15384615384615,-1.0,-1.0,61.53846153846154,66.66666666666666,61.53846153846154,-1.0,66.66666666666666,-1.0,-1.0,-1.0,-1.0,66.66666666666666,46.15384615384615,-1.0,-1.0,-1.0,-1.0,66.66666666666666,-1.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.15384615384615,-1.0,-1.0,60.0,60.0,66.66666666666666,-1.0,-1.0,-1.0,-1.0,66.66666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.66666666666666,-1.0,-1.0,66.66666666666666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.53846153846154,-1.0,-1.0,-1.0,-1.0,-1.0,60.0,-1.0,61.53846153846154,-1.0,-1.0,-1.0,-1.0
Known Defects,-1.0,-1.0,-1.0,13.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,16.0,-1.0,12.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,16.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,13.0,12.0,13.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,12.0,15.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,16.0,16.0,12.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.0,-1.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0
Features Used,-1.0,-1.0,-1.0,13.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,15.0,-1.0,17.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,-1.0,-1.0,19.0,-1.0,-1.0,13.0,17.0,13.0,-1.0,18.0,-1.0,-1.0,-1.0,-1.0,15.0,19.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,-1.0,-1.0,15.0,15.0,15.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,-1.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0
Score,-1.0,-1.0,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,0.005,-1.0,0.005,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,0.005,0.005,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,0.005,0.005,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,0.005,0.005,0.005,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,-1.0,-1.0,-1.0,-1.0,0.005,-1.0,0.005,-1.0,-1.0,-1.0,-1.0
Time,3.3050010204315186,3.284999370574951,3.306027412414551,3.9940097332000732,3.282963752746582,4.018028736114502,3.3129701614379883,3.277024030685425,3.306976795196533,3.3479998111724854,3.2890002727508545,3.30900502204895,4.04005765914917,3.293968915939331,3.304999589920044,4.0039989948272705,3.290001153945923,3.9920358657836914,3.3389627933502197,3.3277525901794434,4.118227243423462,3.3710010051727295,3.43865966796875,3.40195631980896,3.824084997177124,4.192999362945557,3.402494430541992,3.5279948711395264,3.4707655906677246,4.36903190612793,3.6539714336395264,3.442997694015503,4.110031604766846,4.091571807861328,4.027069807052612,3.336073637008667,4.000037431716919,3.285027265548706,3.3189663887023926,3.3230013847351074,3.28702712059021,4.027987718582153,4.053021669387817,3.376986503601074,3.4230005741119385,3.517975330352783,3.4549999237060547,4.1889989376068115,3.4965460300445557,4.200997352600098,3.6950318813323975,3.444993734359741,3.351999521255493,3.3990018367767334,3.788022994995117,4.348969459533691,3.7329671382904053,3.9870214462280273,4.619978904724121,4.502000331878662,4.44199800491333,3.4490017890930176,3.9290003776550293,3.8160009384155273,3.5789992809295654,4.091999530792236,3.5180013179779053,3.384997844696045,3.4210264682769775,3.4289751052856445,3.4630327224731445,3.3879659175872803,3.260000467300415,3.277998685836792,3.2510008811950684,3.343000888824463,3.364999294281006,4.045998573303223,3.328001022338867,3.3590011596679688,4.05403995513916,3.3349595069885254,3.3969995975494385,3.3500001430511475,3.386000394821167,3.4120004177093506,3.4309988021850586,4.0320000648498535,3.335000514984131,3.318999767303467,3.4730007648468018,3.3439998626708984,3.4770278930664062,4.0239715576171875,3.323000192642212,4.007998704910278,3.32800030708313,3.322030782699585,3.2990009784698486,3.3169898986816406
