,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Asked,5,1,1,3,3,5,3,5,1,5,3,3,1,1,3,3,1,5,3,1,5,5,3,1,1,3,1,5,3,1,1,1,5,1,1,1,5,1,3,5,5,1,1,5,5,5,1,1,3,5,3,1,3,1,1,3,1,3,5,5,3,5,1,1,5,3,3,1,5,1,3,3,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,5,1,5,3,1,1,1
User Picked,6,2,2,8,8,12,8,12,2,10,8,8,2,2,6,6,2,8,6,2,10,6,6,2,2,8,2,8,6,2,2,2,10,2,2,2,6,2,6,8,6,2,2,12,10,10,2,2,6,10,6,2,6,2,2,6,2,6,8,8,8,10,2,2,12,6,6,2,6,2,8,6,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,8,2,6,8,2,2,2
Cost,81,-1,-1,-1,-1,87,-1,82,-1,75,-1,-1,-1,-1,-1,-1,-1,87,-1,-1,81,90,-1,-1,-1,-1,-1,87,-1,-1,-1,-1,75,-1,-1,-1,81,-1,-1,82,81,-1,-1,87,81,75,-1,-1,-1,75,-1,-1,-1,-1,-1,-1,-1,-1,82,87,-1,81,-1,-1,87,-1,-1,-1,90,-1,-1,-1,-1,-1,-1,-1,-1,87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82,-1,90,-1,-1,-1,-1
Selected Points,83.33333333,-1,-1,-1,-1,58.33333333,-1,66.66666667,-1,60,-1,-1,-1,-1,-1,-1,-1,62.5,-1,-1,70,66.66666667,-1,-1,-1,-1,-1,62.5,-1,-1,-1,-1,60,-1,-1,-1,83.33333333,-1,-1,87.5,83.33333333,-1,-1,58.33333333,70,60,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,87.5,62.5,-1,70,-1,-1,58.33333333,-1,-1,-1,66.66666667,-1,-1,-1,-1,-1,-1,-1,-1,62.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,87.5,-1,66.66666667,-1,-1,-1,-1
Known Defects,10,-1,-1,-1,-1,15,-1,10,-1,14,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,10,13,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,14,-1,-1,-1,10,-1,-1,10,10,-1,-1,15,10,14,-1,-1,-1,14,-1,-1,-1,-1,-1,-1,-1,-1,10,15,-1,10,-1,-1,15,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10,-1,13,-1,-1,-1,-1
Features Used,17,-1,-1,-1,-1,16,-1,17,-1,18,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,17,16,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,18,-1,-1,-1,17,-1,-1,17,17,-1,-1,16,17,18,-1,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,17,16,-1,17,-1,-1,16,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,16,-1,-1,-1,-1
Score,0.005,-1,-1,-1,-1,0.005,-1,0.005,-1,0.005,-1,-1,-1,-1,-1,-1,-1,0.005,-1,-1,0.005,0.005,-1,-1,-1,-1,-1,0.005,-1,-1,-1,-1,0.005,-1,-1,-1,0.005,-1,-1,0.005,0.005,-1,-1,0.005,0.005,0.005,-1,-1,-1,0.005,-1,-1,-1,-1,-1,-1,-1,-1,0.005,0.005,-1,0.005,-1,-1,0.005,-1,-1,-1,0.005,-1,-1,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005,-1,0.005,-1,-1,-1,-1
Time,3.717036724,3.39496398,3.205001354,3.235997677,3.204999685,3.607999802,3.222033739,3.583995104,3.209971666,3.612033367,3.370083332,3.285032988,3.294968843,3.177998304,3.233000278,3.24102807,3.186008215,3.629999638,3.255963564,3.185001612,3.632027864,3.659001827,3.202995062,3.21497345,3.216001272,3.208147287,3.214007616,3.638030529,3.227972507,3.234996557,3.215002298,3.217006207,3.654991865,3.284001589,3.193025589,3.293975592,3.697029591,3.271968126,3.269036055,3.660963297,3.67303133,3.30197072,3.306999445,3.800999403,3.938195705,3.95306015,3.813900232,3.432029963,3.653990269,4.098030567,3.616969585,3.603030443,3.535969734,3.589055777,3.509023905,3.618974924,3.453001022,3.571026087,3.881000519,3.992998362,3.330000162,3.757030725,3.305000305,3.253977299,3.727024317,3.481968403,3.354999781,3.365999937,3.919999599,3.352000475,3.45603466,3.422965527,3.338011503,3.556987524,3.396000147,3.507001162,4.014000416,4.181000471,3.72137785,3.507032156,3.448997974,3.388968468,3.57702589,3.509977341,3.488254309,3.447642565,3.395125866,3.539998531,3.424000978,3.428030729,3.412001371,3.648967266,3.572000265,4.072001934,3.605998993,3.855998516,3.37436223,3.336000443,3.334001303,3.401999712
