N_estimators10,N_estimators20,N_estimators30,N_estimators40,N_estimators50,N_estimators60,N_estimators70,N_estimators80,N_estimators90,N_estimators100,N_estimators110,N_estimators120,N_estimators130,N_estimators140,N_estimators150,N_estimators160,N_estimators170,N_estimators180,N_estimators190,N_estimators200,Criterion_squared_error,Criterion_absolute_error,Criterion_poisson,Min_sample_leaves1,Min_sample_leaves2,Min_sample_leaves3,Min_sample_leaves4,Min_sample_leaves5,Min_sample_leaves6,Min_sample_leaves7,Min_sample_leaves8,Min_sample_leaves9,Min_sample_leaves10,Min_sample_leaves11,Min_sample_leaves12,Min_sample_leaves13,Min_sample_leaves14,Min_sample_leaves15,Min_sample_leaves16,Min_sample_leaves17,Min_sample_leaves18,Min_sample_leaves19,Min_sample_leaves20,Min_impurity_decrease0.0,Min_impurity_decrease0.25,Min_impurity_decrease0.5,Min_impurity_decrease0.75,Min_impurity_decrease1.0,Min_impurity_decrease1.25,Min_impurity_decrease1.5,Min_impurity_decrease1.75,Min_impurity_decrease2.0,Min_impurity_decrease2.25,Min_impurity_decrease2.5,Min_impurity_decrease2.75,Min_impurity_decrease3.0,Min_impurity_decrease3.25,Min_impurity_decrease3.5,Min_impurity_decrease3.75,Min_impurity_decrease4.0,Min_impurity_decrease4.25,Min_impurity_decrease4.5,Min_impurity_decrease4.75,Min_impurity_decrease5.0,Min_impurity_decrease5.25,Min_impurity_decrease5.5,Min_impurity_decrease5.75,Min_impurity_decrease6.0,Min_impurity_decrease6.25,Min_impurity_decrease6.5,Min_impurity_decrease6.75,Min_impurity_decrease7.0,Min_impurity_decrease7.25,Min_impurity_decrease7.5,Min_impurity_decrease7.75,Min_impurity_decrease8.0,Min_impurity_decrease8.25,Min_impurity_decrease8.5,Min_impurity_decrease8.75,Min_impurity_decrease9.0,Min_impurity_decrease9.25,Min_impurity_decrease9.5,Min_impurity_decrease9.75,Min_impurity_decrease10.0,Min_sample_leaves1.1,Min_sample_leaves2.1,Min_sample_leaves3.1,Min_sample_leaves4.1,Min_sample_leaves5.1,Min_sample_leaves6.1,Min_sample_leaves7.1,Min_sample_leaves8.1,Min_sample_leaves9.1,Min_sample_leaves10.1,Min_sample_leaves11.1,Min_sample_leaves12.1,Min_sample_leaves13.1,Min_sample_leaves14.1,Min_sample_leaves15.1,Min_sample_leaves16.1,Min_sample_leaves17.1,Min_sample_leaves18.1,Min_sample_leaves19.1,Min_sample_leaves20.1,MAE,MSE,RMSE,MAPE,ACC
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1278.4717590674506,10940147.040826697,3307.589309576794,27.98,72.02
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2043.4978118358445,18646426.91619494,4318.1508676973,76.85,23.15
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1185.2748049321049,9675942.607799858,3110.617721257284,23.64,76.36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1986.2109528912183,18208370.399035573,4267.126714668264,72.07,27.93
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2102.34087037037,25248370.72498533,5024.7756890218825,57.35,42.65
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3024.4203534721296,26667004.24369344,5164.010480594849,210.77,-110.77
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1260.4167819913705,10419822.261763131,3227.9749475116955,26.91,73.09
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2675.796962765443,23935431.202870872,4892.385021936731,139.0,-39.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2372.408298245614,23536564.355852585,4851.449716925095,95.82,4.18
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004.008761290055,17486038.732702114,4181.631109113059,81.93,18.07
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1898.4106634423008,18130539.371199258,4257.99710793693,60.99,39.01
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3079.714868538074,27052386.5171883,5201.190874904352,200.83,-100.83
